"company","stand","category","country"
"COMPRINT(THAILAND)COMPANY LIMITED","C1-P51","PackagingTechAsia","THAILAND"
"COMPTECH EQUIPMENTS LIMITED","C3-AN54","ProcessingTechAsia","INDIA"
"CON-MIX CO., LTD.","C2-AD83","PhamaTechAsia","THAILAND"
"CONQUEST EQUIPMENT CO., LTD.","C3-AW83","ProcessingTechAsia","THAILAND"
"CONSOL MACHINERY CO.,LTD","C2-W55","PackagingTechAsia","CHINA"
"CONSTRUCTIONS MECANIQUES VARLET","C3-AU36","ProcessingTechAsia","FRANCE"
"CONSUMER GOODS INTELLIGENCE PTE LTD","C1-AA69","N/A","SINGAPORE"
"CONSUMER GOODS INTELLIGENCE PTE LTD.","C1-AA69","N/A","SINGAPORE"
"CONTECH SUPPLY CO.,LTD.","C1-F62","Coding,Marking&LabellingAsia","THAILAND"
"CONTINENTAL COATED SYSTEMS FRANCE SAS","C3-AU46","PackagingTechAsia","FRANCE"
"CONTROL CONCEPTS INC.","C3-AL28","ProcessingTechAsia","USA"
"CONTROL PRINT LIMITED","C1-G22","Coding,Marking&LabellingAsia","INDIA"
"CONVERSANT TECHNOLOGY CO.,LTD.","C2-AE66","PhamaTechAsia","THAILAND"
"CONVEYOR SYSTEM TECHNOLOGY CO., LTD.","C1-B49","Digitalization","THAILAND"
"COPERION (THAILAND) LTD.","C3-AR78","ProcessingTechAsia","THAILAND"
"CORSTARFLUID TECHNOLOGY(FOSHAN) CO., LTD","C3-AZ12","ProcessingTechAsia","CHINA"
"COTECH","C3-AN62","ProcessingTechAsia","CHINA"
"COWEST MACHINEY LIMITED","C1-M68","PackagingTechAsia","CHINA"
"CREATEC GMBH","C2-T34","ProcessingTechAsia","GERMANY"
"CREATIVE PACKAGING SOLUTION CO., LTD.","C2-S66","PackagingTechAsia","THAILAND"
"CROWN PACKAGE CO., LTD","C1-N35","PackagingTechAsia","JAPAN"
"CROWN SEAL PUBLIC CO., LTD.","C2-AG78","DrinkTechAsia","THAILAND"
"CRYOGAS (THAILAND) CO., LTD.","C3-AN32","ProcessingTechAsia","THAILAND"
"CRYOGENIC SPECIALTY MANUFACTURING","C3-AN32","ProcessingTechAsia","MALAYSIA"
"CRYOTOOLS EQUIPMENT CO., LTD","C3-AT22","ProcessingTechAsia","THAILAND"
"CSF INOX S.P.A.","C3-AP33","ProcessingTechAsia","ITALY"
"CSI PALLETISING","C1-K25","PackagingTechAsia","NETHERLANDS"
"CSNI CORPORATION CO., LTD.","C1-D63","Coldchain,Logistics,Warehousing&FactoryAsia","THAILAND"
"CT PACK S.R.L.","C2-AJ34","ProcessingTechAsia","ITALY"
"CT PACK SRL","C2-AJ36","PackagingTechAsia","ITALY"
"CTC MACHINERY CO.,LTD.","C3-AX16","PackagingTechAsia","THAILAND"
"CTI MACHINE CO., LTD.","C2-AB54","PhamaTechAsia","TAIWAN"
"CVC TECHNOLOGIES, INC. (TAIWAN)","C1-D04","Coldchain,Logistics,Warehousing&FactoryAsia","TAIWAN"
"CYBER INNOVATION PROMOTION ASSOCIATION OF TECHNOLOGY (CIPAT)","C1-B80","N/A","THAILAND"
"CYBER MECHANIC CO., LTD.","C3-AX84","ProcessingTechAsia","THAILAND"
"DAC ENGINEERING CO.,LTD.","C2-W42","PackagingTechAsia","JAPAN"
"DAIICHI JITSUGYO (THAILAND) CO., LTD","C2-V66","PackagingTechAsia","THAILAND"
"DAIRY PACK","C2-AJ49","PackagingTechAsia","SPAIN"
"DANNICE REFRIGERATION TECHNOLOGY CO., LTD","C3-AL71","ProcessingTechAsia","CHINA"
"DAPUSON INTELLIGENT EQUIPMENT CO., LTD.","C2-AB04","DrinkTechAsia","CHINA"
"DARMEX PETROLEUM (THAILAND) CORP., LTD.","C3-AQ82","ProcessingTechAsia","THAILAND"
"DASE-SING PACKAGING TECHNOLOGY CO., LTD.","C2-AG22","DrinkTechAsia","TAIWAN"
"DATACOLOR ASIA PACIFIC (HK) LIMITED","C1-B83","Digitalization","HONG KONG"
"DEESUD PLASTIC (GUANGDONG  XINGJINGTIAN COLOR PRINTING INDUSTRY CO., LTD.)","C1-D16","Coldchain,Logistics,Warehousing&FactoryAsia","THAILAND"
"DEESUD PLASTIC (GUANGDONG MANCHEONG PRINTING PACKAGING CO., LTD.)","C1-D16","Coldchain,Logistics,Warehousing&FactoryAsia","THAILAND"
"DEESUD PLASTIC (TIANJIN ATOMROBOT CO., LTD.)","C1-D32","Coldchain,Logistics,Warehousing&FactoryAsia","THAILAND"
"DEESUD PLASTIC (ZHEJIANG DONSER HOLDING CO.,LTD.)","C1-D16","Coldchain,Logistics,Warehousing&FactoryAsia","THAILAND"
"DEESUD PLASTIC PACKAGING (THAILAND) CO., LTD. (GUANGZHOU PENGPACK INTELLIGENT EQUIPMENT CO., LTD.)","C1-D32","Coldchain,Logistics,Warehousing&FactoryAsia","THAILAND"
"DEHESA NANJING MACHINERY TRADING CO., LTD.","C2-AD77","PhamaTechAsia","CHINA"
"DELMAX MACHINERY CO., LTD.","C2-AE28","DrinkTechAsia","THAILAND"
"DELUX (QUANZHOU) CO., LTD.","C3-AZ25","ProcessingTechAsia","CHINA"
"DELUXE RECYCLING (INDIA) PVT LTD","C3-AZ59","ProcessingTechAsia","INDIA"
"DEMATIC INTERNATIONAL TRADING LTD., SHANGHAI","C1-A12","Digitalization","CHINA"
"DESI KIMYA MADENCILIK INSAAT TURIZM SANAYI VE TICARET ANONIM SIRKETI (TRUGUARD)","C1-D35","PackagingTechAsia","T?RK?YE"
"DESIGNROBOTICSCENTER CO., LTD.","C1-A05","Digitalization","THAILAND"
