ref,department,url,batch_time,description,award_date,awardee,sum
1965EM14T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_217.html,2026-03-08 16:28:30.070572,"Triennial Contract for the Operation and Maintenance of Electrical, Mechanical and Other Installations for Municipal Venues in Kowloon of the Government of the Hong Kong Special Administrative Region [Package II] / Electrical Installation",Mar 2015,Iu Cheong Electric Company Limited,"HK$90,447,048.00"
1864EM14T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_209.html,2026-03-08 16:28:30.070572,"Triennial Contract for the Operation and Maintenance of Electrical, Mechanical and Other Installations for Municipal Venues in Kowloon of the Government of the Hong Kong Special Administrative Region [Package I] / Electrical Installation",Mar 2015,Iu Cheong Electric Company Limited,"HK$73,663,361.00"
1827EM14T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_204.html,2026-03-08 16:28:30.070572,Triennial Term Contract for Maintenance of TETRA System for Correctional Services Department / Radio Electronics Installation,Mar 2015,Motorola Solutions Asia Pacific Limited,"HK$12,764,338.00"
1567EM14T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_199.html,2026-03-08 16:28:30.070572,"Triennial Term Contract for Provision of Maintenance, Modification and Installation Works on Tuen Mun and Yuen Long District Area Traffic Control System / maintenance, modification and installation works for the Area Traffic Control System in Tuen Mun and Yuen Long District as well as Light Rail Transit junctions",Mar 2015,Siemens Limited,"HK$16,283,820.00"
1019EM13W,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_196.html,2026-03-08 16:28:30.070572,Replacement of CCTV System at Shek Pik Prison for Correctional Services Department / Video Electronics Installation,Mar 2015,Tung Po (H.K.) Technology Enterprise Limited,"HK$3,820,000.00"
1015EM13W,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_203.html,2026-03-08 16:28:30.070572,Replacement of Tunnel Lighting System and Monitoring and Management Supervisory Systems in the Shing Mun Tunnels / Industrial Type Electrical Installation,Mar 2015,Mak Hang Kei (Hong Kong) Construction Limited,"HK$78,800,000.00"
1002EM13T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_205.html,2026-03-08 16:28:30.070572,"Triennial Term Contract for Maintenance and Repair of, Alterations, Additions and Improvement Works to Electrical Installations for Municipal Venues in Kowloon Districts for the Government of The Hong Kong Special Administrative Region / Electrical Installation",Feb 2015,Joint Effort Engineering (Asia) Limited,
1001EM13T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_207.html,2026-03-08 16:28:30.070572,"Triennial Term Contract for Maintenance and Repair of, Alterations, Additions and Improvement Works to Electrical Installations for Municipal Venues on Hong Kong Island and its Outlying Islands for the Government of the Hong Kong Special Administrative Region / Electrical Installation",Feb 2015,Che Luen Electrical Engineering Company Limited,
1927EM14T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_195.html,2026-03-08 16:28:30.070572,"Triennial Term Contract for Maintenance of Security and Electronic Systems at various venues for Correctional Services Department, Immigration Department, and Customs and Excise Department / Burglar Alarm and Security Installation",Jan 2015,Thorn Security (Hong Kong) Limited,"HK$19,065,533.00"
1712EM14W,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_200.html,2026-03-08 16:28:30.070572,Replacement of Two Sets of 11kV Switchboards (HS1/SNG & HS2/OTG) and Associated Equipment in Tuen Mun Hospital / Industrial Type Electrical Installation,Jan 2015,Triple Faith Engineering & Supply Limited,"HK$11,200,000.00"
