Contract Number,Contract Title,Date of award,Nature of Works,Tendering Procedure,Contractor(s),Original Contract Sum,url,Commencement Date,Original Completion Date,Location,Contract Value
1974EM20T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of HT21),May 2022,Comprehensive Maintenance and Repair of lift installations at various premises of the Government of the Hong Kong Special Administrative Region,Open,Hitachi Elevator Engineering Company (Hong Kong) Limited,"$23,907,760.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_2991.html,,,,
2332EM21T,Quadrennial Term Contract for Operation and Maintenance of Air-conditioning Installations for various Disciplined Services Departments and Independent Commission Against Corruption in New Territories Region (NEC 3 TSC OPTION A) ,May 2022,Air Conditioning Installation,Selective,Young's Engineering Company limited,"$107,828,920.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4087.html,,,,
1330EM20A,"District Cooling System (DCS) at Kwu Tung North New Development Area
Phase 1 – DCS Pipe Laying and Associated Works (NEC4 ECC Option B)",May 2022,Waterworks,Selective,China Geo-Engineering Corporation,"$269,800,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4039.html,,,,
2626EM21T,54-Month Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of Hospital Authority (TK22),May 2022,"Lift, Escalator and Passenger Conveyor Installation",Selective,TK Elevator Hong Kong Limited,"$6,631,200.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4057.html,,,,
1675EM20T,24-month Term Contract for Maintenance Services for Digital Trunked Radio System (Infrastructure) for Hong Kong Fire Services Department,May 2022,Radio Electronics Installation,Selective,Airbus Secure Land Communications Limited,"$17,224,752.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4036.html,,,,
2312EM21W,Replacement of Central Control and Monitoring System at Tseung Kwan O Tunnel,May 2022,Industrial Type Electrical Installation,Selective,ATAL Engineering Limited,"$10,839,360.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4074.html,,,,
Contract No.: 1643EM21T,"Quadrennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Arsenal House, Police Headquarters, Wan Chai",Apr 2022,"Comprehensive maintenance and repair of Lift installations at Arsenal House, Police Headquarters, Wan Chai.",Open,TK Elevator Hong Kong Limited,"$40,644,768.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4051.html,,,,
1961EM21W,Replacement of Traffic Control and Surveillance System in the Tsing Ma Control Area,Apr 2022,"including supply, installation, testing and commissioning of new system and migration of services. The new traffic control and surveillance system shall mainly consist of computerised central control system, traffic control and surveillance field equipment, communication network, etc. The civil works include construction and erection of mounting structures for field equipment.",Open,Autotoll Limited,"$280,000,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4065.html,,,,
2794EM21T,"Quadrennial Term Contract for Maintenance of Oil-fired Boilers, Gas-fired Boilers, Dual Fuel Boilers and Solar Hot Water Installations at Security and Vehicle Services Division Venues for the Government of the Hong Kong Special Administrative Region",Apr 2022,Liquefied Petroleum Gas Installation,Selective,Yau Sang Engineering Company,"$12,532,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4067.html,,,,
1892EM20T,5-year Term Contract for Provision of Closed Circuit Television Systems at Outlying Islands and Remote Facilities in Hong Kong for Correctional Services Department,Apr 2022,Video Electronics Installation,Selective,Cosmic Commercial Services Limited,"$143,096,661.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4037.html,,,,
1157EM21T,Triennial Term Contract for Maintenance of Air-Conditioning Installation and Other Associated Facilities at Unattended Municipal Venues in Kowloon,Apr 2022,Air Conditioning Installation,Selective,Newland Engineering Limited,"$86,168,668.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4046.html,,,,
1056EM21T,"Quadrennial Term Contract for Maintenance and Repair of Electrical, Floodlight and Other Installations for Hong Kong Police Force, Correctional Services Department, Fire Services Department, Hong Kong Independent Commission Against Corruption and Security Bureau in Kowloon and Outlying Islands",Apr 2022,Electrical Installation,Selective,"Union (Luen Hop) Refrigeration Co., Limited","$46,258,860.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4048.html,,,,
2019EM19T,Triennial Term Contract for Maintenance of Electrical Installations and Domestic Appliances at Various Staff Quarters of the Hong Kong Police Force for the Government of the Hong Kong Special Administrative Region (NEC4 TSC OPTION A),Apr 2022,Electrical Installation,選擇性,"Union (Luen Hop) Refrigeration Co., Limited","$63,069,300.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4020.html,,,,
1178EM21T,Triennial Maintenance Term Contract for the Electrical Installations in Selected Venues under Boundary Crossing Facilities and Transport Services Division in EMSD,Apr 2022,Electrical Installation,Selective,REC Engineering Company Limited,"$84,704,600.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4011.html,,,,
2352EM21T,Triennial Term Contract for Maintenance of Electrical Installations and UPS Systems for Hong Kong Port (HKP)and Hong Kong Link Road (HKLR) at Hong Kong Zhuhai Macao Bridge,Apr 2022,Electrical Installation,Selective,"Union (Luen Hop) Refrigeration Co., Limited","$49,727,893.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4071.html,,,,
1960EM21T,Two-Year Term Contract for the Provision of Maintenance Service of Fixed X-ray Vehicle Inspection System at Shenzhen Bay Control Point,Apr 2022,provision of maintenance services for Fixed X-ray Vehicle Inspection System,Open,Nuctech Hong Kong Company Limited,"$29,657,472.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4055.html,,,,
2425EM20T,"42-month Term Contract for the Operation and Maintenance of Electrical, Mechanical and Other Installations for Municipal Venues of the Government of the Hong Kong Special Administrative Region in Kowloon Region [Package I]",Apr 2022,Electrical Installation,Selective,"Union (Luen Hop) Refrigeration Co., Limited","$136,836,200.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4045.html,,,,
3031EM20T,"Triennial Term Contract for Repairs, Operation and Maintenance to Boilers, Hot Water Installations, Steam Related Equipment and Accessories in Various Health Care Institutions in Kowloon",Mar 2022,Steam and Compressed Air Installation,Selective,Kwong Hing Loong Engine & Boiler Factory Limited,"$37,033,892.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4053.html,,,,
1337EM21T,"Triennial Term Contract for the Comprehensive Maintenance, Repair of, Alteration and Addition to, CCTV, Burglar Alarm and Security Installation at Various Municipal Venues in Hong Kong and Kowloon Region for the Government of the Hong Kong Special Administrative Region",Mar 2022,Burglar Alarm and Security Installation,Selective,G4S Security Systems (Hong Kong),"$28,990,120.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4044.html,,,,
1420EM21T,"Triennial Term Contract for Building Services Fitting-Out, Replacement and Improvement Works for Hospital Authority Building, Kowloon Hospital, Hong Kong Children’s Hospital and Nearby Health Services Venues",Mar 2022,Air Conditioning Installation,Selective,Alliance Contracting Company Limited,"$137,332,364.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4030.html,,,,
1421EM21T,"Triennial Term Contract for Building Services Fitting-Out, Replacement and Improvement Works for Queen Elizabeth Hospital and Nearby Health Services Venues",Mar 2022,Air Conditioning Installation,Selective,Alliance Contracting Company Limited,"$75,982,200.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4027.html,,,,
2495EM19W,Replacement of High Voltage Power Supply System at Cheung Tsing Tunnel,Mar 2022,Industrial Type Electrical Installation,Selective,Kum Shing Engineering Company Limited,"$32,488,888.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4040.html,,,,
3006EM20T,Four-year Term Contract for Maintenance and Modification Works of Speed Enforcement Camera System (Phase II) for Hong Kong Police Force,Mar 2022,comprehensive maintenance service and modification works of Speed Enforcement Camera System (Phase II) of Hong Kong Police Force,Open,QTC Traffic Technology Limited,"$47,704,256.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4054.html,,,,
Contract No.: 1201EM21T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of SG21),Mar 2022,comprehensive maintenance and repair of lift installations at various premises of the Government of the Hong Kong Special Administrative Region,Open,SIGMA Elevator (HK) Limited,"$64,144,768.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4026.html,,,,
2405EM21W,Replacement of Stage Machineries and Stage Automation System at Yuen Long Theatre of the Government of the Hong Kong Special Administrative Region,Feb 2022,"replacement of stage machineries and stage automation system at the auditorium of Yuen Long Theatre of Hong Kong, for 912 days",Open,Stage Technologies (Asia-Pacific) Limited,"$56,211,143.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4034.html,,,,
1900EM21T,"Triennial Term Contract for Maintenance of Heating, Ventilation and Air-conditioning Installations for Health Sector Venues in New Territories West Region",Feb 2022,Air Conditioning Installation,Selective,Young's Engineering Company limited,"$204,441,284.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4038.html,,,,
1569EM21T,Two Years Term Contract for Replacement of Energy Efficient Lighting at Various Venues of Hospital Authority in Hong Kong (Batch 2),Feb 2022,Electrical Installation,Selective,Iu Cheong Electric Company,"$44,965,640.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4032.html,,,,
2353EM21T,4-year Term Contract for the Replacement and Expansion of Red Light Camera System and Speed Enforcement Camera System for Transport Department,Jan 2022,"the replacement of Phase 1 & 2 Red Light Camera Systems, and the expansion of Red Light Camera Systems and Speed Enforcement Camera Systems for Transport Department",Open,Win Promise Limited,"$23,888,888.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4043.html,,,,
1796EM21T,"Triennial Contract to supply and installation of public address systems, auxiliary equipment and emergency call-out system for the Government of the Hong Kong Special Administrative Region",Jan 2022,Audio Electronics Installation,Selective,Shun Tung Electric Company Limited,"$34,705,718.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4028.html,,,,
1319EM21T,"Triennial Term Contract for Building Services Fitting-out, Replacement and Improvement Works for Health Sector Venues in Hong Kong West Region",Jan 2022,Air Conditioning Installation,Selective,Yordland Engineering Limited,"$59,996,590.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4029.html,,,,
1976EM20T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of KO21E),Jan 2022,Comprehensive maintenance and repair of escalator installations at various premises of the Government of the Hong Kong Special Administrative Region,Open,Kone Elevator (HK) Limited,"$5,389,080.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_3002.html,,,,
