Contract Number,Contract Title,Date of award,Nature of Works,Tendering Procedure,Contractor(s),Original Contract Sum,url,Commencement Date,Original Completion Date,Location,Contract Value
1178EM15T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package One of OT15),Jan 2016,comprehensive maintenance and repair of lift installations at various premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority,Open,SIGMA Elevator (HK) Limited,"HK$20,560,333.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_246.html,,,,
1807EM15W,Replacement of 31 Sets of Air-Handling Units at Wanchai Tower,Dec 2015,Air-conditioning Installation,Selective,"Wenden Engineering Service Company, Limited","HK$5,678,668.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_266.html,,,,
1231EM15W,Replacement of Venturi Valves of Airflow Control System at Public Health Laboratory Centre,Dec 2015,Air-conditioning Installation,Selective,Chun Wo E & M Engineering Limited,"HK$12,839,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_274.html,,,,
2566EM14T,"Triennial Term Contract for the Maintenance and Repair of, Alterations and Additions to, Fire Service Installations for Venues of Customs and Excise Department, Fire Services Department, and Immigration Department for the Government of HKSAR",Dec 2015,Fire Service Installation,Selective,"Shun Cheong Electrical Engineering Company, Limited","HK$20,951,604.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_240.html,,,,
1243EM15T,"Triennial Term Contract for the Maintenance, Repair, Alterations, Additions and Improvement for Broadcast Reception Installation and Satellite Master Antenna Television System for the Government of the Hong Kong Special Administrative Region",Dec 2015,Broadcast Reception Installation,Selective,EC Infotech Limited,"HK$9,816,784.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_248.html,,,,
1080EM15T,"42-month Term Contract for Comprehensive Maintenance, Examination and Testing of Lifting Appliances and Lifting Gear for Sewage Treatment Facilities in New Territories",Dec 2015,Mechanical Handling and Lifting Installation,Selective,Wan's Kee Yip Engineering and Metal Works Limited,"HK$10,211,278.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_243.html,,,,
2164EM14T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of FT14),Nov 2015,Comprehensive maintenance and repair of lift installations at various premises of the Government of the Hong Kong Special Administrative Region,Open,ThyssenKrupp Elevator (HK) Limited,"HK$25,356,096.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_237.html,,,,
1553EM15T,36-month Term Contract for Comprehensive Maintenance of Pumping Installations at CSD Venues,Oct 2015,Mechanical Plant and Equipment Installation,Selective,Japco Auto Equipment & Engineering Company Limited,"HK$9,533,221.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_247.html,,,,
1129EM15W,Supply and Installation of Chiller and Associated Accessories at Queen Mary Hospital,Oct 2015,Air-conditioning Installation,Selective,Quad-Tech Engineering (H.K.) Company Limited,"HK$5,706,800.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_280.html,,,,
1249EM15T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package One of SG15),Sep 2015,Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority,Open,SIGMA Elevator (HK) Limited,"HK$8,611,421.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_242.html,,,,
1703EM14T,"Triennial Term Contract for Maintenance, Repair and Replacement of Car Stacker Installation at Hong Kong Police Headquarters for the Government of the Hong Kong Special Administrative Region",Aug 2015,Mechanical Plant and Equipment Installation,Selective,"Wang Tak Engineering & Shipbuilding Company, Limited","HK$4,397,402.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_212.html,,,,
