"item href","cover src","title","desc 2","desc 4","desc 6"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2352&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2021/09/01/09860eb8f7f2e4c4e7f248dacb809db3.png","Guangzhou Xibei Cosmetic Co.,LTD","Supply chain","Skin Care/Mask OEM/ODM","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2353&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","Zhejiang Fuquan Plastic Industry Co.,Ltd","Supply chain","Primary Packaging Containers","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2354&menuId=335","https://h5.chinainternationalbeauty.com5ecf6c427.png/","广州毓美皮具有限公司","Supply chain","Outer Packaging & Graphic Design","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2356&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","Dongguan Sanrong Daily Chemical Container Co., Ltd","Professional beauty","other","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2357&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2022/08/02/ff0dc7011bb7755bd670ec4c42c03c39.png","LIANHE MACHINERY CO.,LIMITED","Supply chain","Emulsifying Equipment,Filling Machines,Packaging Machinery","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2359&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2023/06/05/8f34c6cb4a589e25af5bb5bde34be2d7.png","GUANGZHOU COCOME COSMETICS CO., LTD.","Professional beauty","Nail Products","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2360&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2022/08/27/74547ea7b2edf65ff631cf9bd724a45d.jpg","广州市柳氏生物科技有限公司","Professional beauty","other","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2362&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","Home Safe Cosmeticsc ( Guang Zhou ) Co.,Ltd","Supply chain","Skin Care/Mask OEM/ODM,Health Supplement OEM/ODM","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2363&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2021/11/18/3c9da59a086baf89c0976a7bc0dada39.png","广州喜象化妆品有限公司","Professional beauty","Skin care","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2364&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","Shanghai Li Biological Technology Co.,Ltd.","Professional beauty","other","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2365&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","余姚市博惠日用制品有限公司","Supply chain","Primary Packaging Containers","No"
