"tablescraper-selected-row","tablescraper-selected-row 2","shenzhen","tablescraper-selected-row 3","shopUrl href","shopUrl src"
"Changzhou KansenBio Technology Co., Ltd","7D57","China Mainland","Natural Supply","https://www.pharmasources.com/company-home/changzhou-kansenbio-technology-co-ltd-userId-156081.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Changzhou Yabang-Qh Pharmachem Co., Ltd.","9D88","China Mainland","Pharma Ingredients","https://www.pharmasources.com/company-home/changzhou-yabang-qh-pharmachem-co-ltd-userId-140333.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Changzhou Qianhong Bio-pharma Co., Ltd.","9N71","China Mainland","Pharma Ingredients","https://www.pharmasources.com/company-home/changzhou-qianhong-bio-pharma-co-ltd-userId-146248.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Changzhou Ruiming Pharmaceutical Co. LTD","9J95","China Mainland","Pharma Ingredients","https://www.pharmasources.com/company-home/changzhou-ruiming-pharmaceutical-co-ltd-userId-147024.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"CHANGZHOU BAYTREE KAIJIE PACKAGING MATERIAL CO.,LTD.","9P06","China Mainland","Packaging & Drug Delivery","https://www.pharmasources.com/company-home/changzhou-baytree-kaijie-packaging-mater-userId-157484.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Changzhou Hywell Machinery Co., Ltd.","9M69","China Mainland","Pharma Machinery & Packaging Machinery","https://www.pharmasources.com/company-home/changzhou-hywell-machinery-co-ltd-userId-147552.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Changzhou United Chemical Co Ltd.,","9E95","China Mainland","Pharma Ingredients","https://www.pharmasources.com/company-home/changzhou-united-chemical-co-ltd-userId-140003.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Changzhou Lvying Medical Appliance Co., Ltd.","9A36","China Mainland","Packaging & Drug Delivery","https://www.pharmasources.com/company-home/changzhou-lvying-medical-appliance-co-lt-userId-146599.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Changzhou Shensheng Freeze-Drying Technology Co., Ltd","7G08","China Mainland","Beauty & Cosmetics Supply Chain","https://www.pharmasources.com/company-home/changzhou-shensheng-freeze-drying-techno-userId-147165.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Changzhou Zehua Drying Equipment Co.,Ltd.","8A25","China Mainland","Pharma Machinery & Packaging Machinery","https://www.pharmasources.com/company-home/changzhou-zehua-drying-equipment-coltd-userId-143156.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Changzhou Tuoshuang Drying Equipment Co., LTD.","8B90","China Mainland","Pharma Machinery & Packaging Machinery","https://www.pharmasources.com/company-home/changzhou-tuoshuang-drying-equipment-co--userId-157453.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Changzhou Shinmadrying Machinery Co., Ltd.","8P29","China Mainland","Pharma Machinery & Packaging Machinery","https://www.pharmasources.com/company-home/changzhou-shinmadrying-machinery-co-ltd-userId-142311.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Changzhou Yibu Drying Equipment Co.,Ltd.","8J01","China Mainland","Pharma Machinery & Packaging Machinery","https://www.pharmasources.com/company-home/changzhou-yibu-drying-equipment-coltd-userId-140266.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
