Company Name,Location,Booth,url
"Yunnan Hengtong Cold Chain International Supply Chain Management Co., Ltd.",Chinese Mainland,"['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S00662Y4?fairCode=foodexpopro&locale=en
"Yunnan Mingyang Tianxia Green Food Co., Ltd.",Chinese Mainland,"['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0065ILR?fairCode=foodexpopro&locale=en
"Yunnan Skyline Coffee Co., Ltd.",Chinese Mainland,"['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0065IG6?fairCode=foodexpopro&locale=en
"Yunnan TAETEA Group Co., Ltd.",Chinese Mainland,"['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0065IOI?fairCode=foodexpopro&locale=en
"Yunnan Tianwaitian Natural Beverage Co., Ltd.",Chinese Mainland,"['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0066GQE?fairCode=foodexpopro&locale=en
"Yunnan Wasabi Biotechnology Co., Ltd.",Chinese Mainland,"['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0065IMO?fairCode=foodexpopro&locale=en
"Yunnan Yuanshui Qingyou Trading Co., Ltd.",Chinese Mainland,"['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0066RUR?fairCode=foodexpopro&locale=en
"mek Oort Co., Ltd.",Thailand,"['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0065F70?fairCode=foodexpopro&locale=en
"Chinyi Eggs Technology Co., Ltd.",Taiwan,"['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0065EGA?fairCode=foodexpopro&locale=en
Farmtoglobal Inc,"Korea, Republic Of","['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0065J38?fairCode=foodexpopro&locale=en
"Guizhou Jinchailan Biotechnology Co., Ltd.",Chinese Mainland,"['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0065Q7P?fairCode=foodexpopro&locale=en
"Haenong Co., Ltd.","Korea, Republic Of","['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0064VZ8?fairCode=foodexpopro&locale=en
Nutrinest Nutrition Food Joint Stock Company,Vietnam,"['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0064PMH?fairCode=foodexpopro&locale=en
"ONE GLOBAL KOREA CO., LTD.","Korea, Republic Of","['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0064VTQ?fairCode=foodexpopro&locale=en
"Sichuan Laoliaojia Flavor Food Co., Ltd.",Chinese Mainland,"['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0065L6X?fairCode=foodexpopro&locale=en
Hong Kong Council For Testing and Certification,Hong Kong,"['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0063PGZ?fairCode=foodexpopro&locale=en
Guangzhou Pharmaceutical Baiyunshan Hong Kong Company Limited,Hong Kong,"['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0063PHW?fairCode=foodexpopro&locale=en
