url,Nature of Business,Location,Year of Establishment,Main Categories,Major Markets,Total Employees,Annual Turnover,Contact Person,Office Address,Country/Region,Brands,Position
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Easey-Garment-Fty-Ltd/1X0041DK,"Exporter, Manufacturer",Hong Kong,1967.0,"Clothing/ Garments, Fashion, Eyewear & Accessories","Australasia, Central & South America, Eastern Europe, Japan, Middle East, Western Europe",1001 - 2000 ODM OEM,,Mr Paul Chau,"2/F, Sing Mei Industrial Building, 29-37 Kwai Wing Road, Kwai Chung, N.T., Hong Kong",Hong Kong,,Director
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Lei-Shing-Ind-l-Co-Ltd/1X07O4K4,"Exporter, Manufacturer, e-tailer",Hong Kong,2011.0,"Bags, Handbags & Accessories, Clothing/ Garments, Fashion Accessories, Fashion, Eyewear & Accessories, Gift Sets, Gifts / Souvenirs, Gifts, Toys & Sports Supplies, Packaging Materials, Printed Matters, Textiles, Fabrics & Yarns","Australasia, Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Scandinavia, Southeast Asia, Taiwan, Western Europe, Worldwide",101 - 200,,Ms Angela Huang,"Room 1907, Cheung Fung Industrial Building, 23-39 Pak Tin Par Street, Tsuen Wan, N.T., Hong Kong",Hong Kong,A&J ODM OEM Embroidery Garment Accessories Toothbrush Embroidery Chenille Embroidery Applique Embroidery Certificate Name Issued By Certificate Type Valid Date Oeko-Tex Oeko-Tex Others 16 Mar 2025 - 15 Mar 2026 View details Quality Control,Manager
https://sourcing.hktdc.com/en/Supplier-Store/Profile/TUNG-FONG-INTERNATIONAL-LIMITED/1S00OYHU1,,Hong Kong,,,,,,LEE QUEENIE,"Unit 3, 27/F, 148 Electric Rd, North Point, Hong Kong",Hong Kong,,Merchandiser
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Triple-Force-Garment-Company-Limited/1X0AFTE7,Others,Hong Kong,,"Automobile & Transport, Automobile Security & Safety, Clothing/ Garments, Fashion, Eyewear & Accessories",,,,Mr Coase Yeung,"Room 2102, Hong Man Ind. Centre, 2 Hong Man Street, Chai Wan, Hong Kong",Hong Kong,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Jinyi-Garments-Co-Ltd/1S00P1PQ5,,Chinese Mainland View details Factory & Facility,,,,,,Mr Erathia Tang,,Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Jiaxing-Shenran-Trading-Co-Ltd/1S00OB9U9,,Chinese Mainland,,,,,,Yun Ran Zheng,"No. 558-39 Qi Fu Road, Zong Xiang, Zhejiang, China,",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Thygesen-Textile-Trading-Shanghai-Co-Ltd/1S00OMYTN,,Chinese Mainland,,,,,,ALEX ZHANG,200335 中國上海市 長寧區金鈡路658弄12號2樓,Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hansun-Textile-Printing-Company-Limited/1X09WGXR,,Chinese Mainland,,"Bags, Handbags & Accessories, Clothing/ Garments, Fashion Accessories, Fashion, Eyewear & Accessories, Textiles, Fabrics & Yarns",,,,Charles Gu,"Hansun Building, Pengpu Industrial Park, 1577-15 West Jiang Chang Road, Shanghai 200436, China",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Jiangsu-Bolong-Textile-Technology-Co-Ltd-/1S00P0BU7,,Chinese Mainland,,,,,,YU SU,"ROOM 1927 SOHO, MANBAT,NO.88 HEXI ROAD, YANSHE TOWN,ZHANGJIAGANG CITY,JIANGSU, CHINA",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Nanjing-Beleo-International-Limited/1S00OU9K3,,Chinese Mainland,,Clothing/ Garments View details Factory & Facility,,,,Ms ;LILI YE,,Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/SUZHOU-CITY-PROTOP-GARMENT-CO-LTD/1S00OU92L,,Chinese Mainland,,Clothing/ Garments View details Factory & Facility,,,,Mr Jason LAU,,Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shanghai-Feihong-Industrial-Co-Ltd/1S00OZP25,,Chinese Mainland,,Clothing/ Garments,,,,yuxi Lei,"No. 365, Hehe Village, Xujing Town, Qingpu District, Shanghai, China",Chinese Mainland,,General manager
https://sourcing.hktdc.com/en/Supplier-Store/Profile/WENZHOU-RUIFAN-CLOTHING-CO-LTD/1S00OZP18,,Chinese Mainland,,,,,,SHAOPING LAN,"169 Siming Shan Road, Longwan District, Wenzhou City, China",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/YUNHONG-INFO-TECHNOLOGY-GZ-CO-LTD/1S00OZ792,Manufacturer,"Guangzhou, Guangdong, Chinese Mainland",2012.0,Clothing/ Garments,Eastern Europe,11 - 15,,Miss cindy chen,"Room 1202,C Building No.465 Xincha Road Baiyun District Guan china",Chinese Mainland,,sales manager
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hong-Kong-Council-for-Testing-and-Certification/1X06GMDT,Government,Hong Kong,2009.0,"Government Organizations, Professional Services, Quality Inspection, Compliance & Testing Service Testing Inspection Certification Accreditation",,,,Miss Gigi Lam,"Units 801-04, 8/F, The Hub, 23 Yip Kan Street, Wong Chuk Hang",Hong Kong,,
