url,Nature of Business,Location,Year of Establishment,Main Categories,Contact Person,Position,Office Address,Country/Region,Major Markets,Total Employees,Annual Turnover,Brands
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Chengdu-Craftsman-Move-Excellent-Bags-Luggage-Co-Limited/1S00P166C,,Chinese Mainland,,,Ming Qu,,"509, 5th Floor, Tower A, Moore International, 68 Julong Road, Wuhou Distric Chengdu City, Sichuan Province, China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Chengdu-Jing-Xiu-Yuan-Shu-Embroidery-Co-Ltd-/1S00P0JNK,,Chinese Mainland,,,Wenhui Yin,,"No. 350 Jinhe Road, Anjing Street, Pidu District, Chengdu City, Sichuan Province, China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/CHI-DA-ENTERPRISES-CO-LTD-/1S00O6M7T,,Taiwan,,Gifts / Souvenirs,Miss ELSA HSU,,,Taiwan,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/CIXI-LANPU-INTERNATIONAL-TRADING-CO-LTD/1X0AJSTV,,Chinese Mainland,,,qing yang,,"Room2203, Youyi Mansion, Cixi, Cultural Business District, Ningbo, China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Daily-Toys-And-Gifts-Co-Ltd-/1X06ZSXR,Manufacturer,"Hefei, Anhui, Chinese Mainland",,"Baby Toys, Clothing/ Garments, Fashion, Eyewear & Accessories, Gifts, Toys & Sports Supplies, Party Supplies, Plush & Stuffed Toys",Mr Shili Shao,Manager,"Room112, Building.#35, Nanyuan Garden, Susong Road, Hefei, Anhui, China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Deevat-group-co-limited/1S00OJDON,Exporter,"Dongguan, Guangdong, Chinese Mainland",,,Miss Yee Ching Chung,,"No.5 Shang Xing Road Shang Jiao Area, Chang An Dongguan China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Devchakra-Export-Pvt-Ltd/1S00OGVAB,,Nepal,,,Mr Chakramani Devkota,,,Nepal,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ding-Rong-Anhui-Sporting-Goods-Ltd/1S00OX8X1,,Chinese Mainland,,,Maple Tsang,Sales Manager,"No.17 Xinglong Road, Dingyuan Economic Development Zone, Chuzhou 233200, Anhui, China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dong-Hang-International-Science-Technology-One-Member-Company-Limited/1S00OOP6T,,Chinese Mainland,,,Zhang Ms,,"No. 2 Of Wangyuan Road, Rucheng Street, Rugao, Nantong, Jiangsu, China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dihua-Decoration-Products-Co-Ltd/1X0A9E2S,,Chinese Mainland,,"Costume & Fashion Jewellery, Gifts / Souvenirs, Gifts, Toys & Sports Supplies, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials, Jewellery & Watch, Sports Supplies, Stationery",Kelly Zhang,sales,"Changsheng Industrial District ,Huangjiang Town, Dongguan City, Guangdong Province,China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Everwin-Packaging-Products-Company-Limited/1S00OKQIS,,Chinese Mainland,,,cathy xu,,"Second Floor, No.9, Lane 6, Taisha Road, Nanshan No.2 District,Humen Town,Dongguan City, China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Istyle-Electronics-Technology-Co-Ltd/1S00OXL0F,,Chinese Mainland,,Consumer Electronics,Cici wang,,"Floor 3, Nanling Road 92, Fenggang,Dongguan,Guangdong, China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Jiujie-Toys-Manufacturing-Co-Ltd-/1X0B1UJZ,,Chinese Mainland,,,Bo Xie,,"Room 102, No. 103 Miaobianwang Road, Shipai Town, Dongguan City, Guangdong, China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Yi-Rui-Electronic-Technology-Co-Ltd/1S00OY7MZ,,Chinese Mainland,,,LEE LEE,,"Room No. 202, Building 2, No. 11, Niuling Road, Changping To, Dongguan, Guangdong, China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Z-King-Promotion-Co-Ltd/1S00OMK7V,,Chinese Mainland,,,Merry Yi,,"101, No.27, East Zhenan Road, Changan Town, Dongguan, Mainland China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Zhongxin-Arts-and-Crafts-Factory/1S00P2S7N,Manufacturer,"Dongguan, Guangdong, Chinese Mainland",,"Awards, Watches & Clocks View details Factory & Facility",Ms Evonne Lee,,"No.15 Second Jiaolian Road, Wanjiang district, Dongguan, Guangdong, Mainland China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Eureka-Crystal-Ltd-/1X09YWC0,,Taiwan,,"Art & Collectibles, Awards, Gifts / Souvenirs, Gifts, Toys & Sports Supplies, Stationery, Watches & Clocks",Bob Hsu,Manager,"6F, No. 166, Nanjing East Rd., Sec. 5, Taipei 10597, Taiwan",Taiwan,,,,
