exhibitor_id,application_id,company_name,brand_name,products,booth,detail_url,source_page,source_position
31B9AD604CF001B527C57E288EF2675E,250200,"GUAN,ZHEN-FA",,,TWTC Exhibition Hall 1 Patented Merchandise Area B0302,https://www.inventaipei.com.tw/en/exhibitor/31B9AD604CF001B5FA8CCF4D5C531FEDBFB422A6A801970E/info.html?lt=data&vt=company-name&cr=49,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=2,49
A0578B1C24A0CFDB3F798F680E39ECA9,250053,"Geann Industrial Co., Ltd.",璨鏞工業股份有限公司,,TWTC Exhibition Hall 1 Domestic Inventions Area B0328,https://www.inventaipei.com.tw/en/exhibitor/A0578B1C24A0CFDB5F6D4B65460215D52605680E9E44D119/info.html?lt=data&vt=company-name&cr=50,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=2,50
02A20D9DF1BB12174E8008BC5029AC2C,250651,"GitHouse Co.,Ltd",,,TWTC Exhibition Hall 1 Overseas Inventions Area B1013a,https://www.inventaipei.com.tw/en/exhibitor/02A20D9DF1BB12175061D3D4CCF4B05EBFB422A6A801970E/info.html?lt=data&vt=company-name&cr=51,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=2,51
D44490C85F13B83C3ED83798E2D45901,250024,"Glory Material Co.,Ltd.","欣榮材料股份有限公司/Glory Material Co.,Ltd.",,TWTC Exhibition Hall 1 Domestic Inventions Area B0323,https://www.inventaipei.com.tw/en/exhibitor/D44490C85F13B83C81524510F8D10D992605680E9E44D119/info.html?lt=data&vt=company-name&cr=52,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=2,52
E8386B3475FEFED82EEB2BFA2F1BF0E6,250029,"Green Technology Research Institute, CPC Corporation, Taiwan (TW)",,,TWTC Exhibition Hall 1 Domestic Inventions Area B0212,https://www.inventaipei.com.tw/en/exhibitor/E8386B3475FEFED8D7419ABE969B40F62605680E9E44D119/info.html?lt=data&vt=company-name&cr=53,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=2,53
623CFD418F36C01EECF8F9EFAC092866,250151,"HE-SI Environmental Energy Technology Co., Ltd.",HE-SI,,TWTC Exhibition Hall 1 Domestic Inventions Area B0330,https://www.inventaipei.com.tw/en/exhibitor/623CFD418F36C01ED75623062C9FCD9E2605680E9E44D119/info.html?lt=data&vt=company-name&cr=54,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=2,54
E31F254ADCED24F8E32738BD23A5E474,250042,"HEBU AI Co., Ltd.",鶴卜製研股份有限公司,,TWTC Exhibition Hall 1 Domestic Inventions Area B0336,https://www.inventaipei.com.tw/en/exhibitor/E31F254ADCED24F8218992FB9194A65D2605680E9E44D119/info.html?lt=data&vt=company-name&cr=55,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=2,55
DFB7AF098C977A760EA97DC22A95288D,250750,HOKKAIDO / SAPPORO,Kayacmega,,TWTC Exhibition Hall 1 Overseas Inventions Area B1009a,https://www.inventaipei.com.tw/en/exhibitor/DFB7AF098C977A76A5BDB03B142D7969BFB422A6A801970E/info.html?lt=data&vt=company-name&cr=56,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=2,56
69FF93DC4047BDB187AA3428E9A3E4EA,250052,"HOYA BIT Digital Technology Co., Ltd.",HOYA BIT,,TWTC Exhibition Hall 1 Domestic Inventions Area B0126,https://www.inventaipei.com.tw/en/exhibitor/69FF93DC4047BDB15CEDB1905313CA4D2605680E9E44D119/info.html?lt=data&vt=company-name&cr=57,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=2,57
CBAFEFCD9F0545908EB25CC0E1428FF2,250025,"HUANG CHUAN-YI , TSAI MIN-CHEN",,,TWTC Exhibition Hall 1 Domestic Inventions Area B0114,https://www.inventaipei.com.tw/en/exhibitor/CBAFEFCD9F054590B02CBB0802FBDBA8BFB422A6A801970E/info.html?lt=data&vt=company-name&cr=58,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=2,58
C8303B781476EAA3E5DD1027969276F1,250623,"ITEX 2027 (38TH INTERNATIONAL INVENTION, INNOVATION & TECHNOLOGY EXHIBITION MALAYSIA)",,,TWTC Exhibition Hall 1 Peripheral Services Area B0101a,https://www.inventaipei.com.tw/en/exhibitor/C8303B781476EAA393394666BD6867A0BFB422A6A801970E/info.html?lt=data&vt=company-name&cr=59,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=2,59
AC709E477C51010DB334A8F9F2555A32,250035,InSearchIP Corp.,雲拓/PATSTAR/IPStar/ExPER,,TWTC Exhibition Hall 1 Domestic Inventions Area B0332,https://www.inventaipei.com.tw/en/exhibitor/AC709E477C51010DFB177051DBE0A9EA2605680E9E44D119/info.html?lt=data&vt=company-name&cr=60,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=2,60
7C88098DBBB3323149B5102877DE790E,250655,Indonesian Invention and Innovation Promotion Association(INNOPA),,,TWTC Exhibition Hall 1 Overseas Inventions Area B1016,https://www.inventaipei.com.tw/en/exhibitor/7C88098DBBB3323138E174FA869F0846BFB422A6A801970E/info.html?lt=data&vt=company-name&cr=61,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=2,61
6DB6D97CE61206FE1B6D307969974BBA,175376,Innovation Economy,,.,TWTC Exhibition Hall 1 Innovation Economy D0101,https://www.inventaipei.com.tw/en/exhibitor/6DB6D97CE61206FE2960F1B23CA22801D0636733C6861689/info.html?lt=data&vt=company-name&cr=62,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=2,62
C8E09D6D08108B7371035B3191365178,250152,"Innovation research Co., Ltd.",全效脊椎牽引設備,,TWTC Exhibition Hall 1 Domestic Inventions Area B0239,https://www.inventaipei.com.tw/en/exhibitor/C8E09D6D08108B737D51AECAADF5CBF22605680E9E44D119/info.html?lt=data&vt=company-name&cr=63,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=2,63
7E1A2C01831C278A15DD337B1055C4F6,250054,"Institute of Transportation, MOTC",,,TWTC Exhibition Hall 1 Domestic Inventions Area B0235,https://www.inventaipei.com.tw/en/exhibitor/7E1A2C01831C278AC10E7928B60CFC522605680E9E44D119/info.html?lt=data&vt=company-name&cr=64,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=2,64
0B5B9BA7838EE3BD1B6D307969974BBA,175379,International Area,,.,TWTC Exhibition Hall 1 International Area A0905a,https://www.inventaipei.com.tw/en/exhibitor/0B5B9BA7838EE3BD2960F1B23CA22801D0636733C6861689/info.html?lt=data&vt=company-name&cr=65,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=2,65
