id,exhibitor_name,country,booth_numbers,exhibitor_urn,supplier_urn,virtual_booth_url,contact_url,source_position,source_url
cf8f88cc97ac456facd5f484a6454ebe,Ningbo Tianchao Electrical Appliance Co Ltd,Chinese Mainland,"""3F-D28""",1S0067LVU,1X096AY8,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0067LVU/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,52,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=2&pageSize=50
01d6f2bc0dc0444fb9e0a63ede737a73,Shenzhen Anxon Technology CO LTD,Chinese Mainland,"""1D-C20""",1S0064IQC,1S00OQ4A2,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0064IQC/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,53,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=2&pageSize=50
bab843e82b164b6cb95ce010a23c193f,"Shenzhen Recman Intelligent Technology Co., Limited",Chinese Mainland,"""1D-E19""",1S0064NXM,1S00OALNI,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0064NXM/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,54,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=2&pageSize=50
fbce08a5eab74943911fb770c8012ffd,"Shenzhen Denorgin Tech. Co., Ltd.",Chinese Mainland,"""1B-A09""",1S0064HOJ,1S00OA4FN,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0064HOJ/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,55,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=2&pageSize=50
ebc0e0073ff34c09b787e6d07a4a97d9,"Shenzhen Haike Innovation Electronics Co., Ltd",Chinese Mainland,"""1B-E20""",1S0064HVY,1S00O9SJN,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0064HVY/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,56,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=2&pageSize=50
87da2434245a4d80a737358b57a3cd9a,Shenzhen Tianke Ruimai Technology Co.. Ltd.,Chinese Mainland,"""1D-E18""",1S00639CR,1S00O5SJN,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S00639CR/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,57,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=2&pageSize=50
3cced0302ecc44aea64c597c081900ba,"Xiamen Hanin Co., Ltd.",Chinese Mainland,"""3B-C05""",1S00636M0,1S00OODCN,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S00636M0/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,58,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=2&pageSize=50
f5c0ed4559fe4f01924ad85ef3f0dacb,"Dongguan Loyfun Ind'l Co., Ltd.",Chinese Mainland,"""1E-C23""",1S00639X0,1X09E2CI,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S00639X0/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,59,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=2&pageSize=50
c0746d1518844f71a8be6fef97cc2881,"Shenzhen Risun Technology Co., Ltd.",Chinese Mainland,"""1A-D14""",1S0064OZF,1X0759HS,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0064OZF/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,60,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=2&pageSize=50
77eafee6a3ef4954b693ad57d454fefa,"Shenzhen Weiteshijia Technology Co., Ltd.",Chinese Mainland,"""1B-B14""",1S006395C,1S00OTSYE,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S006395C/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,61,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=2&pageSize=50
